月份,品类,品类区别,例子数,首单数,转化率,首单流水,ltv,3月例子数,月份,品类,品类区别,例子数,首单数,转化率,首单流水,ltv
合计,,,"17,492",947,,"1,610,782",,,合计,,,"18,066","1,318",,"2,272,891",
2026-04,合计,,"17,492",947,,"1,610,782",,,2026-03,合计,,"18,066","1,318",,"2,272,891",
2026-04,一杰瑜伽,孵化品,46,5,10.87%,"8,554",185.96,16,2026-03,一杰瑜伽,孵化品,16,1,6.25%,"1,692",105.75
2026-04,东方养正瑜伽,正式品,654,17,2.60%,"34,154",52.22,580,2026-03,东方养正瑜伽,正式品,580,23,3.97%,"48,818",84.17
2026-04,东方食养,孵化品,43,3,6.98%,"6,001",139.56,14,2026-03,东方食养,孵化品,14,4,28.57%,"8,120",580
2026-04,中医变美,正式品,995,81,8.14%,"156,357",157.14,947,2026-03,中医变美,正式品,947,113,11.93%,"223,682",236.2
2026-04,五禽戏,正式品,307,10,3.26%,"14,991",48.83,289,2026-03,中式美食制作,孵化品,395,23,5.82%,"40,398",102.27
2026-04,亚健康管理,正式品,530,11,2.08%,"21,925",41.37,521,2026-03,五禽戏,正式品,289,4,1.38%,"7,020",24.29
2026-04,健康营养,正式品,"1,148",103,8.97%,"167,354",145.78,1047,2026-03,亚健康管理,正式品,521,19,3.65%,"35,264",67.69
2026-04,健康食养,正式品,"1,356",59,4.35%,"118,607",87.47,1774,2026-03,健康营养,正式品,"1,047",129,12.32%,"222,486",212.5
2026-04,内养太极,孵化品,5,0,0.00%,,,#N/A,2026-03,健康食养,正式品,"1,774",112,6.31%,"226,433",127.64
2026-04,古法居家养生,正式品,81,4,4.94%,"5,182",63.98,163,2026-03,养正变美,正式品,16,2,12.50%,"4,690",293.13
2026-04,君合太极,正式品,596,31,5.20%,"51,706",86.76,527,2026-03,古法居家养生,正式品,163,2,1.23%,"2,597",15.93
2026-04,唱歌,正式品,414,40,9.66%,"77,301",186.72,635,2026-03,君合太极,正式品,527,35,6.64%,"61,470",116.64
2026-04,国学朗诵,正式品,315,13,4.13%,"21,155",67.16,441,2026-03,唱歌,正式品,635,50,7.87%,"95,342",150.14
2026-04,国际声乐,正式品,"1,499",87,5.80%,"94,890",63.3,2455,2026-03,国学朗诵,正式品,441,23,5.22%,"40,370",91.54
2026-04,声乐,正式品,14,0,0.00%,,,#N/A,2026-03,国际声乐,正式品,"2,455",146,5.95%,"153,974",62.72
2026-04,太极,正式品,"1,844",57,3.09%,"105,369",57.14,1536,2026-03,太极,正式品,"1,536",68,4.43%,"129,038",84.01
2026-04,开心太极,孵化品,72,10,13.89%,"11,758",163.31,#N/A,2026-03,戏曲,孵化品,149,21,14.09%,"32,390",217.38
2026-04,开心晨练团,/,210,0,0.00%,,,#N/A,2026-03,手机摄影,正式品,270,29,10.74%,"52,910",195.96
2026-04,懒人吃瘦,孵化品,212,16,7.55%,"25,832",121.85,#N/A,2026-03,摄影美学,正式品,365,24,6.58%,"28,004",76.72
2026-04,戏曲,孵化品,161,16,9.94%,"23,462",145.73,149,2026-03,普拉提,正式品,778,106,13.62%,"172,656",221.92
2026-04,手机摄影,正式品,313,26,8.31%,"46,244",147.74,270,2026-03,气血调理,正式品,112,12,10.71%,"25,034",223.52
2026-04,摄影美学,正式品,619,44,7.11%,"51,200",82.71,365,2026-03,瑜伽,正式品,133,17,12.78%,"38,354",288.38
2026-04,普拉提,正式品,883,47,5.32%,"80,569",91.24,778,2026-03,电子琴,孵化品,49,9,18.37%,"14,898",304.04
2026-04,气血调理,正式品,74,4,5.41%,"8,449",114.18,112,2026-03,相机摄影,正式品,251,14,5.58%,"26,824",106.87
2026-04,瑜伽,正式品,269,18,6.69%,"43,370",161.23,133,2026-03,真书法,孵化品,121,3,2.48%,"5,264",43.5
2026-04,电子琴,孵化品,28,5,17.86%,"7,304",260.86,49,2026-03,睡眠调理,正式品,"1,889",137,7.25%,"207,069",109.62
2026-04,相机摄影,正式品,164,4,2.44%,"9,163",55.87,251,2026-03,短视频,正式品,"1,618",96,5.93%,"204,013",126.09
2026-04,真书法,孵化品,75,0,0.00%,,,121,2026-03,编织工艺美学,孵化品,55,18,32.73%,"27,666",503.02
2026-04,睡眠调理,正式品,"2,094",82,3.92%,"140,222",66.96,1889,2026-03,美学收纳,孵化品,42,8,19.05%,"3,681",87.64
2026-04,短视频,正式品,"1,533",69,4.50%,"142,825",93.17,1618,2026-03,舞蹈,正式品,37,3,8.11%,"5,559",150.24
2026-04,编织工艺美学,孵化品,33,5,15.15%,"6,930",210,55,2026-03,茶道,正式品,119,16,13.45%,"40,876",343.5
2026-04,美学收纳,孵化品,58,11,18.97%,"4,382",75.55,42,2026-03,逆龄女神瑜伽,正式品,314,14,4.46%,"24,576",78.27
2026-04,舞蹈,正式品,31,9,29.03%,"3,371",108.74,37,2026-03,键盘乐,孵化品,69,16,23.19%,"28,601",414.51
2026-04,茶道,正式品,150,23,15.33%,"58,423",389.49,119,2026-03,面部瑜伽驻颜,正式品,58,8,13.79%,"17,574",303
2026-04,逆龄女神瑜伽,正式品,250,8,3.20%,"10,972",43.89,314,2026-03,风光摄影,正式品,281,13,4.63%,"15,548",55.33
2026-04,键盘乐,孵化品,67,15,22.39%,"28,021",418.22,69,,,,,,,,
2026-04,面部瑜伽驻颜,正式品,196,10,5.10%,"20,439",104.28,58,,,,,,,,
2026-04,风光摄影,正式品,153,4,2.61%,"4,300",28.1,281,,,,,,,,
2026-03,一杰瑜伽,孵化品,16,1,6.25%,"1,692",106,,,,,,,,,
2026-03,东方养正瑜伽,正式品,580,23,3.97%,"48,818",84.17,,,,,,,,,
2026-03,东方食养,孵化品,14,4,28.57%,"8,120",580.0,,,,,,,,,
2026-03,中医变美,正式品,947,113,11.93%,"223,682",236.2,,,,,,,,,
2026-03,中式美食制作,孵化品,395,23,5.82%,"40,398",102.27,,,,,,,,,
2026-03,五禽戏,正式品,289,4,1.38%,"7,020",24.29,,,,,,,,,
2026-03,亚健康管理,正式品,521,19,3.65%,"35,264",67.69,,,,,,,,,
2026-03,健康营养,正式品,"1,047",129,12.32%,"222,486",212.5,,,,,,,,,
